INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9253125, eval/precision = 0.9472165, eval/recall = 0.9539037, global_step = 50000, loss = 0.27350715
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.873125, eval/precision = 0.90953743, eval/recall = 0.9231408, global_step = 50000, loss = 0.35266492
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89625, eval/precision = 0.90638465, eval/recall = 0.9613627, global_step = 50000, loss = 0.31209034
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8675, eval/precision = 0.92829376, eval/recall = 0.8928126, global_step = 50000, loss = 0.3243585
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9084375, eval/precision = 0.93970895, eval/recall = 0.9385382, global_step = 50000, loss = 0.29856977
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9196875, eval/precision = 0.9272655, eval/recall = 0.96925634, global_step = 50000, loss = 0.28585154
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9021875, eval/precision = 0.90176517, eval/recall = 0.9763191, global_step = 50000, loss = 0.32923687
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.919375, eval/precision = 0.92054796, eval/recall = 0.97714996, global_step = 50000, loss = 0.27804607
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89125, eval/precision = 0.9183259, eval/recall = 0.9389281, global_step = 50000, loss = 0.30621946
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9134375, eval/precision = 0.9389942, eval/recall = 0.9464063, global_step = 50000, loss = 0.30383363
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9203125, eval/precision = 0.9280032, eval/recall = 0.96925634, global_step = 50000, loss = 0.2765307
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9075, eval/precision = 0.9014835, eval/recall = 0.98462814, global_step = 50000, loss = 0.30600446
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9190625, eval/precision = 0.93271554, eval/recall = 0.96177816, global_step = 50000, loss = 0.28531522
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8959375, eval/precision = 0.91249007, eval/recall = 0.9530536, global_step = 50000, loss = 0.3192185
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.91375, eval/precision = 0.9199842, eval/recall = 0.9696718, global_step = 50000, loss = 0.29452267
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8846875, eval/precision = 0.9047241, eval/recall = 0.9464286, global_step = 50000, loss = 0.33524674
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9140625, eval/precision = 0.92101103, eval/recall = 0.9688409, global_step = 50000, loss = 0.30385026
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.86625, eval/precision = 0.9212431, eval/recall = 0.89904445, global_step = 50000, loss = 0.3434594
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9025, eval/precision = 0.90742904, eval/recall = 0.96925634, global_step = 50000, loss = 0.30667773
