Wall time,Step,Value
1528650588.45346,1,-0.5446784496307373
1528650598.420923,100,-8.84531307220459
1528650602.991243,199,-9.342212677001953
1528650607.668606,298,-9.798395156860352
1528650612.355468,397,-10.146806716918945
1528650616.877575,496,-10.114717483520508
1528650621.55981,595,-9.975037574768066
1528650626.178069,694,-9.880788803100586
1528650630.882007,793,-9.835835456848145
1528650635.384055,892,-9.869056701660156
1528650640.155794,991,-9.918680191040039
1528650644.781265,1090,-9.957782745361328
1528650649.276941,1189,-9.964098930358887
1528650653.70837,1288,-9.998440742492676
1528650658.207506,1387,-10.037952423095703
1528650662.695426,1486,-10.025253295898438
1528650667.354622,1585,-10.089166641235352
1528650671.965506,1684,-10.098535537719727
1528650676.637917,1783,-10.14370346069336
1528650681.316027,1882,-10.107915878295898
1528650685.881664,1981,-10.108119010925293
1528650690.486744,2080,-10.135725021362305
1528650695.1058,2179,-10.108013153076172
1528650699.708731,2278,-10.132139205932617
1528650704.375281,2377,-10.154707908630371
1528650709.107152,2476,-10.08485221862793
1528650713.82009,2575,-10.089651107788086
1528650718.451839,2674,-10.121479988098145
1528650723.066672,2773,-10.154637336730957
1528650727.74861,2872,-10.106006622314453
1528650732.2725,2971,-10.134845733642578
1528650736.873694,3070,-10.17316722869873
1528650741.222814,3169,-10.102371215820312
1528650745.700164,3268,-10.155941009521484
1528650750.410441,3367,-10.181589126586914
1528650754.906419,3466,-10.138753890991211
1528650759.379514,3565,-10.151932716369629
1528650763.838033,3664,-10.119829177856445
1528650768.461539,3763,-10.091340065002441
1528650773.077495,3862,-10.110198974609375
1528650777.683288,3961,-10.168745040893555
1528650782.213808,4060,-10.16933822631836
1528650786.703283,4159,-10.206230163574219
1528650791.171212,4258,-10.174779891967773
1528650795.869573,4357,-10.228240966796875
1528650800.542425,4456,-10.253401756286621
1528650805.220203,4555,-10.218973159790039
1528650809.883674,4654,-10.120716094970703
1528650814.450544,4753,-10.146294593811035
1528650819.119918,4852,-10.137174606323242
1528650823.542965,4951,-10.091537475585938
1528650828.070479,5050,-10.119126319885254
1528650832.713322,5149,-10.057723999023438
1528650837.379329,5248,-10.04763126373291
1528650842.054926,5347,-10.03570556640625
